"LEVEL1","LEVEL2","CD","LEVEL1_NM","LEVEL2_NM","NM","NM2","COMMENTS","DEL_YN","REG_DATE","REG_USER","MOD_DATE","MOD_USER"
AN,"07","1",분석,데이터형식(Format),json,json,분석-데이터형식(Format)-json,N,"20180528134825",iip,,
AN,"07","2",분석,데이터형식(Format),delimiter,delimiter,분석-데이터형식(Format)-delimiter,N,"20180528134825",iip,,
AN,"07","3",분석,데이터형식(Format),fixedlength,fixedlength,분석-데이터형식(Format)-fixedlength,N,"20180528134825",iip,,
AN,"07","4",분석,데이터형식(Format),derecord,derecord,분석-데이터형식(Format)-derecord,N,"20180528134825",iip,,
AN,"07","9",분석,데이터형식(Format),etc,etc,분석-데이터형식(Format)-etc,N,"20180528134825",iip,,
AN,"08","1",분석,암호화유형,AES,AES,분석-암호화유형-AES,N,"20180528134825",iip,,
AN,"08","2",분석,암호화유형,ARIA,ARIA,분석-암호화유형-ARIA,N,"20180528134825",iip,,
AN,"08","3",분석,암호화유형,SEED,SEED,분석-암호화유형-SEED,N,"20180528134825",iip,,
AN,"08","4",분석,암호화유형,RSA,RSA,분석-암호화유형-RSA,N,"20180528134825",iip,,
AN,"08","5",분석,암호화유형,MD5,MD5,분석-암호화유형-MD5,N,"20180528134825",iip,,
AN,"09","0",분석,데이터필드유형,string,문자,분석-데이터필드유형-string,N,"20180528134825",iip,,
AN,"09","1",분석,데이터필드유형,number,숫자,분석-데이터필드유형-number,N,"20180528134825",iip,,
AN,"09","2",분석,데이터필드유형,boolean,진리값,분석-데이터필드유형-boolean,N,"20180528134825",iip,,
AN,"09","3",분석,데이터필드유형,binary,이진데이터,분석-데이터필드유형-binary,N,"20180528134825",iip,,
AN,"09","4",분석,데이터필드유형,complex,복합유형,분석-데이터필드유형-complex,N,"20180528134825",iip,,
